#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
secretly_convert_to_monophysite_holy_site_desc;The §Y[monophysite.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_monothelite_holy_site;Secretly Convert to [monothelite.GetName];;;;;;;;;;;;;x
secretly_convert_to_monothelite_holy_site_desc;The §Y[monothelite.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_paulician_holy_site;Secretly Convert to [paulician.GetName];;;;;;;;;;;;;x
secretly_convert_to_paulician_holy_site_desc;The §Y[paulician.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_qarmatian_holy_site;Secretly Convert to [qarmatian.GetName];;;;;;;;;;;;;x
secretly_convert_to_qarmatian_holy_site_desc;The §Y[qarmatian.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_samaritan_holy_site;Secretly Convert to [samaritan.GetName];;;;;;;;;;;;;x
secretly_convert_to_samaritan_holy_site_desc;The §Y[samaritan.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_waldensian_holy_site;Secretly Convert to [waldensian.GetName];;;;;;;;;;;;;x
secretly_convert_to_waldensian_holy_site_desc;The §Y[waldensian.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_yazidi_holy_site;Secretly Convert to [yazidi.GetName];;;;;;;;;;;;;x
secretly_convert_to_yazidi_holy_site_desc;The §Y[yazidi.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_zikri_holy_site;Secretly Convert to [zikri.GetName];;;;;;;;;;;;;x
secretly_convert_to_zikri_holy_site_desc;The §Y[zikri.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
